HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
3458	Animalia	Chordata	Mammalia	Rodentia	Muridae	Nannospalax	Nannospalax_ehrenbergi	Palestine mole rat	NA	NA	NA	NA	3	1	NA	NA	NA	160	NA	20.2	Aaron Avivi, pers. comm.	captivity	small	acceptable	NA	NA	0.585	133.8	308.7	364204346046757e18
3459	Animalia	Chordata	Mammalia	Rodentia	Muridae	Neotoma	Neotoma_albigula	White-throated woodrat	84	101	29	43	2	2	49	11.5	103.3	209	NA	9.5	671	captivity	small	acceptable	NA	NA	0.735	177.6	309.15	3642043444145561e4
3460	Animalia	Chordata	Mammalia	Rodentia	Muridae	Neotoma	Neotoma_cinerea	Bushy-tailed woodrat	353	NA	30	27	3.68	2	30	13.5	107	335.5	0.0442	NA	NA	unknown	tiny	low	NA	NA	1.152	256.5	NA	36455610623671677e6
3461	Animalia	Chordata	Mammalia	Rodentia	Muridae	Neotoma	Neotoma_floridana	Eastern woodrat	95	NA	33	22	3.5	NA	83	13.43	45.9	291	0.0654	8.6	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	4344414555426107e8
3462	Animalia	Chordata	Mammalia	Rodentia	Muridae	Neotoma	Neotoma_lepida	Desert woodrat	76	76	33	31	3	3	60	8.45	35	236	NA	10.5	671	captivity	small	acceptable	NA	NA	0.46	112.5	309.95	36420455671
3463	Animalia	Chordata	Mammalia	Rodentia	Muridae	Neotoma	Neotoma_micropus	Southern plains woodrat	136	NA	35	26	2.51	NA	NA	11.7	35.6	236.3	0.0281	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455610622680700
3464	Animalia	Chordata	Mammalia	Rodentia	Muridae	Notomys	Notomys_alexis	Australian hopping mouse	75	75	35	30	3.9	NA	33	2.83	12.5	35	0.0326	6.4	671	captivity	medium	acceptable	NA	NA	0.252	32.3	311.15	36420434455610675e6
3465	Animalia	Chordata	Mammalia	Rodentia	Muridae	Notomys	Notomys_aquilo	Northern hopping mouse	NA	NA	53	NA	3	NA	NA	NA	NA	39	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	610671
3466	Animalia	Chordata	Mammalia	Rodentia	Muridae	Notomys	Notomys_mitchellii	Mitchells hopping mouse	73	90	37	30	3.3	NA	37	NA	NA	52	NA	5.3	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671680
3467	Animalia	Chordata	Mammalia	Rodentia	Muridae	Nyctomys	Nyctomys_sumichrasti	Vesper rat	NA	NA	30	21	2.25	5	38	4.7	40	50	NA	5.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455508610671
